iter	PRAUC	Logloss
0	0.5772917706	0.6885448617
1	0.5830433268	0.6840852899
2	0.5908556865	0.6796331503
3	0.5900913801	0.6753598254
4	0.59061285	0.6713746907
5	0.5923504946	0.6674253904
6	0.5948591509	0.6634893824
7	0.595304116	0.6595687777
8	0.5958787699	0.6557538407
9	0.595650311	0.6519814474
10	0.5967116154	0.6483579263
11	0.596649481	0.64480973
12	0.5967855768	0.6412318649
13	0.5968679851	0.6378283324
14	0.5969666408	0.6344684133
15	0.5985223376	0.6309676384
16	0.5985289413	0.6277393274
17	0.5984705706	0.6247368563
18	0.5995469358	0.6216840997
19	0.5998713676	0.6185463202
20	0.5999617866	0.6156255155
21	0.6008424048	0.6126948317
22	0.6013533951	0.6099180275
23	0.6019848648	0.6069685195
24	0.6021788194	0.6043814889
25	0.6025067483	0.6018401405
26	0.6029334229	0.5992340204
27	0.6033037336	0.5968554336
28	0.6034854705	0.5944856071
29	0.6033174399	0.5920398291
30	0.6034042165	0.5896764666
31	0.6037177595	0.5874445853
32	0.6040316935	0.5851832047
33	0.6041647068	0.5830294261
34	0.6040983269	0.5808657039
35	0.6042323821	0.5787542699
36	0.6046307957	0.5765921141
37	0.6049590441	0.5745483815
38	0.6052648066	0.5726680009
39	0.605390588	0.5707702035
40	0.6054520001	0.5687697467
41	0.6053881376	0.5669899856
42	0.6056137449	0.565175668
43	0.605780501	0.5634432613
44	0.6058749032	0.5617298223
45	0.6061937692	0.5599127469
46	0.6062576014	0.5582431549
47	0.6066933499	0.5564764806
48	0.6071781885	0.5547986721
49	0.6073844166	0.5532307547
50	0.6076349263	0.5515514242
51	0.6076873105	0.5501464972
52	0.6080282875	0.5486334348
53	0.6081188306	0.5472295228
54	0.6080701292	0.5458648529
55	0.6082427766	0.5444543492
56	0.6084435174	0.5431857705
57	0.608630077	0.5419657524
58	0.6086040187	0.5406133185
59	0.6090948664	0.5391800176
60	0.6091171468	0.537933762
61	0.6092470989	0.5367179456
62	0.6092895879	0.5354622202
63	0.6092758384	0.5343871934
64	0.6094669739	0.5332332899
65	0.6096464778	0.5320970968
66	0.6098421512	0.5310124737
67	0.6098710456	0.5299088052
68	0.6097678925	0.5287914171
69	0.6099728844	0.5277306154
70	0.610018514	0.5266498401
71	0.6102289054	0.5256231807
72	0.610332907	0.5245592038
73	0.6103807711	0.5236542145
74	0.6106033964	0.5227094755
75	0.6109717563	0.5217500631
76	0.6113596263	0.5207983635
77	0.6115356271	0.5199286469
78	0.611707383	0.5191258166
79	0.6119267165	0.5182771589
80	0.6120034384	0.5174830801
81	0.6121250896	0.5165728596
82	0.6122309268	0.5158144817
83	0.6122218324	0.5150296848
84	0.6122250597	0.5142886457
85	0.6122774245	0.5135141868
86	0.6123665962	0.5128576833
87	0.6124642786	0.5120120736
88	0.6125409553	0.511283823
89	0.6128733555	0.5104516696
90	0.6130227259	0.5097727642
91	0.6130610044	0.5090801116
92	0.6132644344	0.5084380041
93	0.6133614554	0.5077550969
94	0.6134215711	0.5071321524
95	0.6136369924	0.5063919794
96	0.6137533907	0.5058187541
97	0.6138745731	0.5052447525
98	0.6140019809	0.5046089066
99	0.6141632572	0.5039740856
100	0.6141356185	0.503441589
101	0.6144360175	0.502760952
102	0.6145725816	0.5022090553
103	0.6148256653	0.5015666852
104	0.6149974171	0.5009576372
105	0.6151010879	0.5003855875
106	0.6152569118	0.4998577635
107	0.6152510707	0.4993779396
108	0.6153678879	0.4988712767
109	0.6156641798	0.498230304
110	0.6156961859	0.4977334425
111	0.6157225163	0.4972644183
112	0.615782041	0.4967755985
113	0.6159691817	0.4962914227
114	0.6160656418	0.4958361119
115	0.6161537038	0.495397445
116	0.6161556535	0.4949635934
117	0.6162993974	0.4944737687
118	0.6163996927	0.4940082357
119	0.6165099008	0.4936251355
120	0.6166219414	0.4931765659
121	0.6168032228	0.4927495933
122	0.6169656931	0.4922668728
123	0.6171913893	0.491793087
124	0.6173563961	0.4914367162
125	0.6175198312	0.4909721068
126	0.6176912518	0.4905473556
127	0.6179060085	0.4901047581
128	0.6179845889	0.489780544
129	0.6180742382	0.489449913
130	0.6183331487	0.4890269631
131	0.6184677335	0.4887052074
132	0.6185372284	0.4883693137
133	0.6187133613	0.4879673715
134	0.6188480343	0.4875959074
135	0.6189079049	0.4872474451
136	0.6190235134	0.4869472655
137	0.6191895129	0.4866351418
138	0.6194012318	0.4862151685
139	0.6194231208	0.48585432
140	0.619520521	0.4855747543
141	0.6197032592	0.4851999662
142	0.6198164456	0.4848888905
143	0.6199229666	0.4846255355
144	0.6200318303	0.4843084188
145	0.6200926324	0.4840610698
146	0.620194849	0.4837799314
147	0.6202169032	0.4835166452
148	0.6203856441	0.4831590519
149	0.6205216729	0.4829058184
150	0.6206452797	0.4826601173
151	0.6206701972	0.4824238103
152	0.6207889116	0.482118531
153	0.6208052334	0.4818984357
154	0.6210162491	0.4815915336
155	0.6210831246	0.4813195603
156	0.6211893569	0.4810858597
157	0.6212590362	0.4808428422
158	0.6213714183	0.4805327826
159	0.6213964992	0.4803321817
160	0.6214984726	0.4801148411
161	0.6216037919	0.4798470819
162	0.6216892357	0.4796215136
163	0.621748865	0.4793644325
164	0.6218943155	0.479141662
165	0.6219445185	0.4789232304
166	0.6221231784	0.4787164676
167	0.622233518	0.4785370607
168	0.6223213183	0.4783195956
169	0.6224281301	0.4780948076
170	0.6225582585	0.4779133494
171	0.6226677871	0.4777299116
172	0.6227238937	0.4775293505
173	0.6228139328	0.4773336153
174	0.6229217039	0.4771134214
175	0.6229947937	0.4769021783
176	0.6230766719	0.4767258499
177	0.623116988	0.4765150992
178	0.623279813	0.4762889539
179	0.6233917335	0.4761191019
180	0.6235144668	0.4758749095
181	0.6236414895	0.4756575586
182	0.623707509	0.475453979
183	0.6237933776	0.4752864602
184	0.6239112946	0.4751027721
185	0.6239845179	0.4749214451
186	0.6241125936	0.4747017235
187	0.6241383048	0.4745352964
188	0.6242093182	0.4743551923
189	0.6242804092	0.4742172024
190	0.624330561	0.4740407125
191	0.6244292499	0.4738520437
192	0.6244922477	0.4737097555
193	0.6245396758	0.4735370138
194	0.6246011505	0.4733817518
195	0.6246662623	0.4732392982
196	0.6247404778	0.473045135
197	0.6249043638	0.4728459743
198	0.6250573244	0.4726394522
199	0.6251278816	0.4725126919
200	0.6252088447	0.4723976079
201	0.6252887522	0.4722390558
202	0.6253790938	0.4720714355
203	0.625439444	0.4719282863
204	0.6255038288	0.4717889661
205	0.625577732	0.4716460368
206	0.6256466928	0.4715247155
207	0.6257523459	0.4713679997
208	0.6258185242	0.4712508626
209	0.6259232712	0.4710756531
210	0.6259546502	0.4709582944
211	0.6259679391	0.4708388569
212	0.6260087672	0.4707186077
213	0.6260794034	0.4705695695
214	0.6261595691	0.4704612896
215	0.6262684086	0.4703616463
216	0.6263383869	0.470252603
217	0.626393883	0.4701283883
218	0.6264629161	0.4699805331
219	0.6265377618	0.4698595961
220	0.6266130637	0.4697434671
221	0.6266109989	0.4696296431
222	0.6267191184	0.4694890796
223	0.6267547627	0.4693967107
224	0.6268509701	0.4692976836
225	0.6269310688	0.4691897165
226	0.6269666837	0.4691080028
227	0.6270563135	0.4689797078
228	0.627073781	0.4688720217
229	0.627149392	0.4687340084
230	0.627202518	0.4686280261
231	0.627228871	0.4685024398
232	0.6273102012	0.4684117611
233	0.6273935374	0.46831875
234	0.6274886466	0.4682126693
235	0.6275721096	0.46810873
236	0.627642251	0.4680273124
237	0.6276972944	0.4679344036
238	0.6277436119	0.467827546
239	0.6277908974	0.4677373384
240	0.6278456022	0.4676421496
241	0.6278902797	0.4675641525
242	0.6279749241	0.4674432925
243	0.6280164733	0.4673647944
244	0.6280563927	0.4672850695
245	0.6281203759	0.4672074139
246	0.6281788093	0.4671196463
247	0.6282452453	0.4670338302
248	0.6283197389	0.466959031
249	0.6284474716	0.466816649
250	0.6285650527	0.4666739419
251	0.6286288576	0.4665772708
252	0.6287051688	0.4664981835
253	0.6287780341	0.4664179481
254	0.6288559759	0.4663268776
255	0.629006746	0.466195492
256	0.629097582	0.466108693
257	0.6291605361	0.4660339599
258	0.6292398407	0.4659507047
259	0.629276727	0.4658690365
260	0.629321444	0.4658137358
261	0.6294127103	0.4656807753
262	0.6294797154	0.465603381
263	0.629548685	0.465511527
264	0.6296141041	0.4654190003
265	0.6297423754	0.4653042812
266	0.6298248988	0.4652190607
267	0.6299046428	0.4651404038
268	0.6299634746	0.4650755037
269	0.6299977366	0.4650033532
270	0.6300287822	0.4649352462
271	0.6300791285	0.4648394653
272	0.6301400432	0.4647392162
273	0.6301971731	0.4646796453
274	0.6302419591	0.4646144041
275	0.6303681186	0.4644688345
276	0.6304586244	0.4643722139
277	0.6305968216	0.4642404926
278	0.6306949136	0.4641161256
279	0.6307689522	0.464032148
280	0.6308369485	0.4639731536
281	0.6309032012	0.4638959764
282	0.6309681562	0.4638222317
283	0.6310492119	0.4637371467
284	0.6310753358	0.4636780855
285	0.6311063915	0.4636040495
286	0.6312233618	0.463476638
287	0.6312691621	0.4634135608
288	0.6313584439	0.463329158
289	0.6314028321	0.4632468997
290	0.6314630997	0.4631832115
291	0.6314981679	0.4631307112
292	0.6316061674	0.4630414428
293	0.6316475357	0.4629819281
294	0.6318003401	0.4628558697
295	0.6318742474	0.4627873093
296	0.6319346307	0.4627323931
297	0.6320374058	0.4626232784
298	0.6320886185	0.4625633171
299	0.6321437369	0.4624877276
300	0.6321841632	0.4624229826
301	0.6322342003	0.4623617744
302	0.6322816061	0.4622879064
303	0.6323702106	0.462233774
304	0.6324734168	0.4621283518
305	0.6325167861	0.4620736073
306	0.6325539092	0.4620112741
307	0.6326219603	0.4619490743
308	0.6326908076	0.4618925286
309	0.6327587772	0.4618087841
310	0.6328397053	0.4617303073
311	0.6329190971	0.4616644288
312	0.6330222979	0.4615571804
313	0.6331036583	0.461493402
314	0.6331584844	0.461423991
315	0.6331996421	0.4613552098
316	0.6332410476	0.4613012667
317	0.6333538675	0.4611944323
318	0.6334299801	0.4611361501
319	0.6335478846	0.4610628445
320	0.6336248978	0.460988713
321	0.6337148273	0.4608988752
322	0.6337596001	0.4608512669
323	0.6338365396	0.4607783295
324	0.6339207451	0.4607200297
325	0.6339826673	0.4606670587
326	0.6340578008	0.4605906358
327	0.6341008674	0.4605220413
328	0.6341536125	0.4604709057
329	0.6341666412	0.460429043
330	0.6342282047	0.4603812681
331	0.6343097111	0.4603004157
332	0.6343873766	0.4602290796
333	0.6344482063	0.4601692373
334	0.6344927564	0.4601076879
335	0.6346206092	0.4600370318
336	0.6346787076	0.4599792105
337	0.634750558	0.4599220081
338	0.6348278742	0.4598593624
339	0.6349115294	0.4597971038
340	0.6350198211	0.4597069554
341	0.635086092	0.4596548043
342	0.6351337511	0.4596130289
343	0.6352151122	0.4595488413
344	0.6352635367	0.4594885003
345	0.6353599021	0.4594191889
346	0.6354268945	0.4593706078
347	0.6355100203	0.4593046019
348	0.6355532851	0.4592566459
349	0.6356515049	0.4591871833
350	0.6356966631	0.4591199567
351	0.6357746269	0.459044972
352	0.6358341176	0.4589937294
353	0.6358989736	0.4589187901
354	0.6359712576	0.4588582123
355	0.6360507477	0.4588031288
356	0.6361622476	0.4587144384
357	0.6362220843	0.4586524585
358	0.6362686086	0.4586153399
359	0.6363274653	0.4585506849
360	0.6364590767	0.458438042
361	0.6365157281	0.4583894448
362	0.6365761242	0.4583359992
363	0.6366474478	0.4582785946
364	0.6366845046	0.4582360309
365	0.6367591731	0.4581889582
366	0.636832378	0.4581327259
367	0.6368959493	0.4580693822
368	0.6369674063	0.4579883145
369	0.6370464234	0.4579319571
370	0.6371515668	0.4578222144
371	0.6372171541	0.4577658584
372	0.6373295441	0.4576841016
373	0.6373758388	0.4576302045
374	0.6374538747	0.4575782114
375	0.6375340858	0.4575120458
376	0.6376337725	0.4574364284
377	0.6376928491	0.4573868574
378	0.6377638227	0.4573255609
379	0.637801661	0.4572873901
380	0.6378549754	0.4572224289
381	0.6379334554	0.4571524755
382	0.6379825492	0.4570972769
383	0.6380248293	0.4570428722
384	0.6381041879	0.4569930065
385	0.6381529975	0.4569409636
386	0.6382392246	0.4568768281
387	0.6383072143	0.456827167
388	0.6383528453	0.4567900303
389	0.6383866562	0.4567393399
390	0.6384790825	0.4566832078
391	0.638578363	0.4566210049
392	0.6386863713	0.4565290435
393	0.6387337426	0.4564922468
394	0.6387912251	0.4564350256
395	0.6388835634	0.4563807937
396	0.6389801693	0.4563289166
397	0.6391053615	0.4562357498
398	0.6392005921	0.4561621123
399	0.6392842561	0.4561123701
400	0.639332807	0.4560601991
401	0.6393846466	0.4560161838
402	0.6394636918	0.4559564389
403	0.639507576	0.4559120414
404	0.6395622651	0.4558678761
405	0.6396122321	0.455819403
406	0.6396668748	0.4557649576
407	0.6397153214	0.4557146175
408	0.6397912964	0.4556288394
409	0.6398551072	0.4555756413
410	0.6398945382	0.4555358246
411	0.6399724358	0.4554906917
412	0.6400403106	0.4554417984
413	0.6400978452	0.4553844697
414	0.6401823759	0.4553205191
415	0.6402296558	0.4552801943
416	0.6402618492	0.4552378107
417	0.6403071278	0.4552071156
418	0.6403517516	0.4551570361
419	0.6404417397	0.4551033758
420	0.6405376763	0.4550501855
421	0.6405879115	0.4550177075
422	0.6406350933	0.454971054
423	0.6406770352	0.4549378839
424	0.6407700354	0.4548831491
425	0.6408507531	0.4548251662
426	0.6409159991	0.4547833282
427	0.6409967915	0.4547195316
428	0.6410728441	0.4546420684
429	0.6411412686	0.4545881998
430	0.6412015557	0.4545448316
431	0.6412836009	0.4544927863
432	0.6413634414	0.4544406394
433	0.6414675725	0.4543619689
434	0.6415186495	0.4543221931
435	0.6416128501	0.4542366112
436	0.6416777541	0.4541845363
437	0.6418020945	0.4541215768
438	0.6418651943	0.4540674487
439	0.6419284461	0.454013515
440	0.6419743875	0.4539702995
441	0.6420468379	0.4539214124
442	0.6421210918	0.4538624492
443	0.642148953	0.4538175134
444	0.6422177766	0.4537556959
445	0.6422677865	0.4537155801
446	0.6423074326	0.4536739929
447	0.6423576735	0.4536226693
448	0.6424465331	0.4535703999
449	0.6424810246	0.4535323554
450	0.6425493229	0.4534889324
451	0.6426268796	0.4534315768
452	0.6427050436	0.4533823525
453	0.6427574067	0.4533469151
454	0.6428700215	0.4532639912
455	0.642935079	0.4532206741
456	0.6430100199	0.4531784957
457	0.6430773853	0.4531173705
458	0.6431414046	0.4530803355
459	0.6431962039	0.4530461716
460	0.6432639371	0.4529982908
461	0.643347289	0.4529380124
462	0.64340378	0.4528977502
463	0.6434476546	0.4528562473
464	0.643490537	0.452822335
465	0.6435518505	0.4527555943
466	0.6436053658	0.4527142742
467	0.6437357954	0.4526409425
468	0.6437988984	0.4525898245
469	0.6438713364	0.4525373751
470	0.6439429442	0.4524824242
471	0.6439841959	0.4524346552
472	0.6440613231	0.452384606
473	0.6441185183	0.4523401249
474	0.6441743887	0.4522924113
475	0.6442542888	0.4522320332
476	0.6443101607	0.4521907431
477	0.6443589936	0.4521452353
478	0.6444454423	0.4520873496
479	0.6444823838	0.4520543144
480	0.6445720796	0.4520169297
481	0.6446211787	0.4519803017
482	0.6446678506	0.4519397159
483	0.644737935	0.4519026129
484	0.6448004249	0.4518677399
485	0.6448816575	0.4518156227
486	0.6449523732	0.4517717481
487	0.6450140271	0.4517307383
488	0.645076848	0.4516804943
489	0.6451400238	0.4516335801
490	0.6451802901	0.451603151
491	0.6452222224	0.4515593705
492	0.6452671896	0.4515262531
493	0.6453356381	0.4514671552
494	0.6453877983	0.4514238711
495	0.6455006044	0.4513717022
496	0.6455597355	0.4513231407
497	0.6455996186	0.4512841847
498	0.6457110357	0.4512172877
499	0.6457916009	0.4511731948
500	0.6458517726	0.4511437825
501	0.6459173396	0.4510987621
502	0.6459660762	0.4510582978
503	0.6460296571	0.4510139444
504	0.6461049119	0.4509613714
505	0.6461648578	0.4509240674
506	0.6462627839	0.4508455852
507	0.6463037382	0.4508137228
508	0.6463808438	0.4507728899
509	0.6464484799	0.4507205754
510	0.6465032025	0.4506850884
511	0.6465449957	0.450647934
512	0.6466054627	0.4506108967
513	0.6466915841	0.4505361418
514	0.6467351322	0.4504951637
515	0.6467724239	0.450453549
516	0.6468283041	0.4504176364
517	0.6468641393	0.450386149
518	0.6469765694	0.4503234245
519	0.6470308014	0.4502800406
520	0.6471193095	0.450226733
521	0.6471813048	0.4501849266
