iter	Passed	Remaining
0	783	7829618
1	1398	6989610
2	2023	6744305
3	2606	6513942
4	3284	6566635
5	4037	6725445
6	4834	6901954
7	5606	7002425
8	6324	7020419
9	7148	7141623
10	7937	7207539
11	8756	7288026
12	9574	7355221
13	10425	7436081
14	11288	7514644
15	12206	7617079
16	13071	7675857
17	13944	7733204
18	14743	7745101
19	15376	7672732
20	16016	7610837
21	16656	7554565
22	17400	7548094
23	18314	7612594
24	19190	7657167
25	20148	7729154
26	21026	7766580
27	21955	7819322
28	22796	7838115
29	23686	7871680
30	24570	7901461
31	25468	7933355
32	26330	7952740
33	27197	7972129
34	28088	7997179
35	28939	8009763
36	29755	8012278
37	30614	8025776
38	31487	8042329
39	32385	8064047
40	33265	8080363
41	34012	8064264
42	34829	8065126
43	35649	8066447
44	36531	8081605
45	37420	8097553
46	38189	8087177
47	39015	8089191
48	39841	8091062
49	40703	8099902
50	41513	8098334
51	42347	8101480
52	43256	8118324
53	44072	8117546
54	44946	8127172
55	45851	8141974
56	46709	8147972
57	47562	8152795
58	48446	8162890
59	49329	8172263
60	50124	8166988
61	51034	8180379
62	51916	8188861
63	52733	8186798
64	53588	8190781
65	54444	8194705
66	55298	8198193
67	56140	8199759
68	57036	8209182
69	57911	8215219
70	58764	8217916
71	59636	8223212
72	60509	8228404
73	61333	8226910
74	62394	8256857
75	63215	8254593
76	64091	8259508
77	64955	8262632
78	65799	8263302
79	66689	8269529
80	67601	8278285
81	68405	8273697
82	69201	8268300
83	70052	8269510
84	70890	8269145
85	71732	8269253
86	72637	8276485
87	73401	8267724
88	74274	8271204
89	75171	8277183
90	76050	8281165
91	76918	8283841
92	77748	8282275
93	78562	8279107
94	79320	8270196
95	79962	8249422
96	80654	8234245
97	81550	8239922
98	82441	8244951
99	83361	8252743
100	84266	8258937
101	85217	8269430
102	86056	8268906
103	86928	8271599
104	87807	8274779
105	88653	8274838
106	89514	8276311
107	90375	8277701
108	91203	8276090
109	92087	8279501
110	92954	8281361
111	93835	8284321
112	94710	8286764
113	95596	8290041
114	96418	8287839
115	97250	8286438
116	98022	8280007
117	98885	8281259
118	99793	8286175
119	100691	8290248
120	101519	8288494
121	102437	8294041
122	103290	8294302
123	104169	8296592
124	104925	8289120
125	105831	8293472
126	106744	8298355
127	107631	8301090
128	108641	8313157
129	109569	8318880
130	110456	8321308
131	111380	8326555
132	112295	8331004
133	113117	8328482
134	114001	8330575
135	114948	8337131
136	115811	8337596
137	116734	8342269
138	117715	8351048
139	118575	8351083
140	119507	8356209
141	120386	8357559
142	121190	8353658
143	122032	8352469
144	122941	8355788
145	123829	8357669
146	124757	8362155
147	125650	8364251
148	126540	8366121
149	127428	8367821
150	128308	8368968
151	129239	8373328
152	130161	8377148
153	131048	8378611
154	131998	8384006
155	132882	8385205
156	133774	8386866
157	134720	8391872
158	135605	8393055
159	136456	8392085
160	137339	8393039
161	138202	8392808
162	139050	8391665
163	139865	8388540
164	140764	8390403
165	141661	8392163
166	142588	8395652
167	143518	8399232
168	144464	8403755
169	145356	8405051
170	146225	8404953
171	147157	8408508
172	148116	8413518
173	149038	8416394
174	149952	8418776
175	150785	8416557
176	151702	8419042
177	152624	8421791
178	153535	8423870
179	154428	8424943
180	155364	8428331
181	156288	8430983
182	157177	8431759
183	157894	8423317
184	158612	8415033
185	159269	8403611
186	159829	8387203
187	160300	8366323
188	160619	8337767
189	160928	8308976
190	161252	8281308
191	161532	8251633
192	161894	8226426
193	162207	8199006
194	162532	8172444
195	162836	8145140
196	163154	8118775
197	163503	8094243
198	163851	8069885
199	164155	8043634
200	164501	8019635
201	164797	7993483
202	165101	7967991
203	165435	7944166
204	165776	7920903
205	166070	7895626
206	166344	7869619
207	166715	7848465
208	167104	7828334
209	167437	7805786
210	167768	7783337
211	168115	7761883
212	168455	7740254
213	168863	7721959
214	169216	7701316
215	169539	7679513
216	169875	7658477
217	170197	7637016
218	170578	7618385
219	170881	7596467
220	171207	7575746
221	171568	7556730
222	171886	7536011
223	172223	7516310
224	172526	7495335
225	172820	7474110
226	173124	7453489
227	173441	7433646
228	173758	7413941
229	174061	7393827
230	174412	7375896
231	174733	7356882
232	175033	7337124
233	175335	7317624
234	175638	7298360
235	175944	7279326
236	176267	7261190
237	176570	7242349
238	176890	7224366
239	177241	7207820
240	177569	7190458
241	177921	7174206
242	178206	7155378
243	178530	7138278
244	178872	7122043
245	179152	7103486
246	179507	7087997
247	179812	7070689
248	180117	7053535
249	180459	7037914
250	180804	7022569
251	181088	7004967
252	181469	6991254
253	181801	6975733
254	182148	6960925
255	182510	6946809
256	182827	6931069
257	183134	6915106
258	183466	6900195
259	184118	6897348
260	184967	6901922
261	185768	6904631
262	186584	6907864
263	187322	6908231
264	188190	6913344
265	188969	6915156
266	189663	6913827
267	190390	6913744
268	191215	6917176
269	191973	6918165
270	192830	6922685
271	193656	6926068
272	194396	6926348
273	195106	6925552
274	195838	6925545
275	196630	6927666
276	197381	6928290
277	198164	6930041
278	199010	6933987
279	199861	6938057
280	200586	6937707
281	201375	6939604
282	202265	6944933
283	203172	6950792
284	203888	6950088
285	204683	6952071
286	205660	6960213
287	206515	6964157
288	207426	6969957
289	208191	6970817
290	208942	6971228
291	209828	6976093
292	210654	6978926
293	211421	6979782
294	212212	6981447
295	213001	6982992
296	213711	6981965
297	214603	6986840
298	215435	6989768
299	216225	6991281
300	217074	6994696
301	217962	6999341
302	218803	7002438
303	219512	7001287
304	220264	7001538
305	220979	7000582
306	221691	6999545
307	222477	7000806
308	223166	6999048
309	223939	6999914
310	224672	6999510
311	225373	6998135
312	226083	6997024
313	226797	6996045
314	227551	6996294
315	228324	6997129
316	229034	6996041
317	229873	6998851
318	230612	6998612
319	231397	6999774
320	232535	7011561
321	233442	7016322
322	234194	7016406
323	235040	7019282
324	235872	7021728
325	236598	7021015
326	237330	7020472
327	238072	7020223
328	238782	7019041
329	239536	7019154
330	240276	7018834
331	241059	7019782
332	241781	7018927
333	242582	7020367
334	243401	7022326
335	244225	7024384
336	245114	7028302
337	245912	7029609
338	246917	7036774
339	247733	7038558
340	248500	7038916
341	249319	7040731
342	250209	7044522
343	251121	7048928
344	251974	7051628
345	252810	7053853
346	253671	7056735
347	254554	7060237
348	255453	7064134
349	256301	7066609
350	257020	7065505
351	257740	7064441
352	258435	7062674
353	259190	7062567
354	259952	7062645
355	260912	7068092
356	261865	7073309
357	263133	7086962
358	263985	7089374
359	265015	7096537
360	266190	7107510
361	267227	7114742
362	268246	7121462
363	269125	7124434
364	270214	7132922
365	271505	7146669
366	272460	7151526
367	273826	7167105
368	275102	7180259
369	276034	7184349
370	277254	7195916
371	278508	7208289
372	279523	7214399
373	280510	7219761
374	281435	7223515
375	282366	7227368
376	283326	7231972
377	284215	7234713
378	285347	7243621
379	286314	7248270
380	287530	7259214
381	288570	7265622
382	289586	7271406
383	290740	7280623
384	291846	7288591
385	292975	7297065
386	294276	7309776
387	295284	7315133
388	296100	7315749
389	297139	7321812
390	298348	7332054
391	299351	7337169
392	300866	7354771
393	301959	7361978
394	302912	7365751
395	303526	7361287
396	303874	7350402
397	304259	7340447
398	304665	7331067
399	304957	7318981
400	305297	7308110
401	305634	7297220
402	305941	7285664
403	306327	7276042
404	306663	7265283
405	307056	7255920
406	307393	7245279
407	307715	7234327
408	308063	7224052
409	308367	7212783
410	308691	7202047
411	309021	7191504
412	309345	7180853
413	309697	7170929
414	310026	7160488
415	310325	7149430
416	310676	7139608
417	311004	7129301
418	311432	7121316
419	311769	7111302
420	312151	7102381
421	312545	7093737
422	312918	7084690
423	313280	7075401
424	313607	7065401
425	313900	7054658
426	314171	7043478
427	314518	7034038
428	314856	7024455
429	315163	7014222
430	315515	7005036
431	315882	6996208
432	316212	6986617
433	316588	6978073
434	316923	6968677
435	317322	6960722
436	317703	6952401
437	318025	6942836
438	318332	6932984
439	318688	6924232
440	319058	6915832
441	319421	6907305
442	319798	6899125
443	320162	6890714
444	320526	6882312
445	320826	6872594
446	321133	6863065
447	321438	6853524
448	321783	6844896
449	322144	6836611
450	322463	6827509
451	322806	6818934
452	323134	6810080
453	323435	6800702
454	323780	6792264
455	324083	6783006
456	324441	6774936
457	324749	6765852
458	325092	6757528
459	325425	6749032
460	325804	6741540
461	326115	6732662
462	326390	6723076
463	326743	6715147
464	327124	6707815
465	327515	6700704
466	327858	6692668
467	328266	6685973
468	328579	6677369
469	328877	6668513
470	329183	6659853
471	329487	6651174
472	329823	6643196
473	330117	6634391
474	330405	6625493
475	330739	6617573
476	331038	6608962
477	331409	6601846
478	331772	6594575
479	332098	6586621
480	332547	6581125
481	332888	6573502
482	333481	6570890
483	334480	6576277
484	335515	6582327
485	336564	6588621
486	337418	6591087
487	338298	6594048
488	339205	6597507
489	340056	6599878
490	340783	6599812
491	341744	6604291
492	342592	6606546
493	343511	6610167
494	344310	6611454
495	345190	6614291
496	346071	6617135
497	346871	6618422
498	347722	6620656
499	349048	6631915
500	350110	6638123
501	351173	6644314
502	352612	6657577
503	353525	6660877
504	354631	6667769
505	355557	6671261
506	356788	6680458
507	357551	6680855
508	358708	6688600
509	359537	6690211
510	360343	6691384
511	361074	6691166
512	361818	6691177
513	362666	6693100
514	363711	6698645
515	364653	6702282
516	365460	6703408
517	366183	6703000
518	367144	6706932
519	367964	6708276
520	368855	6710909
521	369616	6711164
522	370377	6711409
523	371109	6711134
524	372254	6718303
525	373355	6724652
526	374197	6726332
527	375049	6728153
528	375894	6729856
529	376705	6730952
530	377446	6730779
531	378242	6731585
532	378973	6731217
533	379733	6731374
534	380527	6732141
535	381744	6740347
536	382493	6740294
537	383209	6739646
538	384014	6740553
539	384727	6739851
540	385486	6739956
541	386300	6741009
542	387129	6742330
543	387974	6743905
544	388843	6745907
545	389650	6746813
546	390502	6748480
547	391243	6748233
548	392026	6748706
549	392826	6749465
550	393659	6750788
551	394448	6751357
552	395222	6751657
553	396051	6752884
554	396838	6753403
555	397627	6753944
556	398381	6753895
557	399092	6753104
558	399834	6752831
559	400557	6752256
560	401327	6752459
561	402097	6752661
562	402830	6752235
563	403612	6752637
564	404373	6752675
565	405131	6752663
566	405864	6752233
567	406560	6751190
568	407316	6751147
569	408068	6751033
570	408898	6752203
571	409670	6752400
572	410455	6752816
573	411204	6752642
574	411973	6752778
575	412709	6752384
576	413449	6752045
577	414232	6752427
578	414978	6752176
579	415804	6753235
580	416723	6755802
581	417479	6755701
582	418603	6761556
583	419619	6765640
584	420533	6768069
585	421342	6768802
586	422729	6778799
587	423890	6785136
588	424682	6785551
589	425609	6788114
590	426356	6787800
591	427139	6788048
592	427929	6788421
593	428786	6789848
594	430189	6799880
595	431297	6805236
596	432598	6813609
597	433971	6823076
598	435110	6828840
599	436396	6836877
600	437542	6842693
601	438748	6849435
602	439760	6853116
603	441153	6862709
604	442655	6873972
605	443864	6880633
606	444873	6884175
607	445780	6886136
608	446651	6887530
609	447558	6889467
610	448468	6891435
611	449286	6891990
612	450183	6893756
613	451093	6895705
614	452094	6899041
615	453025	6901281
616	453847	6901872
617	454245	6896008
618	454611	6889679
619	454902	6882238
620	455253	6875725
621	455655	6869997
622	456066	6864429
623	456489	6859051
624	456829	6852442
625	457244	6846978
626	457621	6840963
627	457988	6834818
628	458375	6828987
629	458788	6823566
630	459157	6817501
631	459514	6811285
632	459860	6804916
633	460244	6799126
634	460590	6792798
635	460976	6787087
636	461360	6781352
637	461711	6775153
638	462114	6769725
639	462547	6764761
640	462902	6758661
641	463306	6753301
642	463683	6747563
643	464104	6742489
644	464528	6737466
645	464916	6731935
646	465310	6726508
647	465710	6721186
648	466085	6715513
649	466418	6709244
650	466781	6703436
651	467192	6698334
652	467573	6692810
653	467907	6686641
654	468260	6680753
655	468643	6675307
656	468993	6669421
657	469343	6663530
658	469755	6658547
659	470113	6652823
660	470470	6647086
661	470830	6641409
662	471225	6636244
663	471609	6630943
664	471973	6625377
665	472421	6620998
666	472799	6615653
667	473129	6609647
668	473468	6603782
669	473877	6598924
670	474248	6593537
671	474678	6588990
672	474975	6582604
673	475454	6578760
674	476176	6578293
675	477118	6580844
676	478190	6585180
677	479296	6589978
678	480298	6593316
679	481274	6596289
680	482252	6599277
681	483163	6601350
682	484231	6605540
683	485167	6607921
684	486112	6610416
685	487132	6613922
686	487957	6614773
687	489003	6618607
688	490070	6622706
689	491186	6627465
690	492319	6632416
691	493328	6635694
692	494136	6636259
693	494925	6636568
694	495631	6635761
695	496400	6635792
696	497158	6635670
697	497888	6635182
698	498654	6635167
699	499421	6635165
700	500143	6634569
701	500877	6634130
702	501690	6634736
703	502512	6635443
704	503295	6635648
705	504034	6635267
706	504725	6634250
707	505438	6633517
708	506201	6633454
709	506905	6632606
710	507628	6632009
711	508325	6631077
712	509012	6630006
713	509686	6628775
714	510356	6627495
715	511071	6626796
716	511799	6626264
717	512544	6625962
718	513300	6625783
719	514003	6624929
720	514735	6624447
721	515503	6624434
722	516300	6624789
723	517099	6625158
724	517811	6624420
725	518562	6624171
726	519318	6623988
727	520079	6623876
728	520818	6623465
729	521554	6623022
730	522320	6622963
731	523109	6623189
732	523801	6622190
733	524514	6621456
734	525295	6621585
735	526049	6621356
736	526786	6620924
737	527515	6620392
738	528225	6619613
739	528973	6619313
740	529713	6618916
741	530446	6618425
742	531205	6618261
743	532016	6618737
744	532758	6618363
745	533481	6617740
746	534269	6617927
747	534977	6617132
748	535739	6616993
749	536474	6616518
750	537224	6616235
751	537914	6615199
752	538567	6613719
753	539260	6612740
754	539930	6611471
755	540566	6609784
756	541284	6609106
757	542028	6608744
758	542836	6609161
759	543615	6609216
760	544364	6608917
761	545096	6608406
762	545898	6608738
763	546662	6608610
764	547437	6608610
765	548175	6608167
766	549014	6608930
767	549781	6608832
768	550564	6608925
769	551311	6608577
770	552066	6608329
771	552835	6608251
772	553564	6607684
773	554290	6607091
774	555133	6607883
775	555946	6608309
776	556758	6608731
777	557601	6609517
778	558351	6609194
779	559231	6610402
